target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
facilityLocationServiceFax,facility,Service fax number for facility location,facility;location;service;fax,,facilityLocationServicePhone,string,,,,False,true
facilityLocationServicePhone,facility,Service phone number for facility location,facility;location;service;phone,,facilityLocationServiceFax,string,,,,False,true
facilityLocationState,facility,State of facility location,facility;location;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
facilityLocationType,facility,"Type of the facility location (e.g., Clinic, Hospital, Office)",facility;location;type,,,string,,,PRI|PRA,False,true
facilityLocationWebsite,facility,Website URL of the facility location,facility;location;website,,,string,,,,False,true
facilityLocationZip,facility,Zip code of facility location,facility;location;zip,,,string,,,,False,true
facilityMailingAddressLine1,facility,Address line 1 of facility mailing address,facility;mailing;address;line,,,string,,,,False,true
facilityMailingAddressLine2,facility,Address line 2 of facility mailing address,facility;mailing;address;line,,,string,,,,False,true
facilityMailingCity,facility,City of facility mailing address,facility;mailing;city,,,string,,,,False,true
facilityMailingCounty,facility,County of facility mailing address,facility;mailing;county,,,string,,,,False,true
facilityMailingFax,facility,Fax number for facility mailing address,facility;mailing;fax,,facilityMailingPhone,string,,,,False,true
facilityMailingPhoneNumber,facility,Phone number for facility mailing address,facility;mailing;phone;number,,facilityMailingFaxNumber,string,,,,False,true
